XYZ (105953 points)
122.734 30.935 20.137
122.779 30.939 20.784
122.826 30.943 24.478
122.873 30.947 31.290
122.922 30.951 37.582
122.972 30.954 44.367
123.022 30.957 47.319
123.074 30.961 50.419
123.126 30.963 54.222
123.181 30.966 59.109
123.236 30.968 51.748
123.292 30.970 52.557
123.350 30.972 51.866
123.409 30.974 51.543
123.469 30.975 52.312
123.530 30.977 49.740
123.594 30.979 43.767
123.657 30.982 56.708
123.723 30.984 67.386
123.790 30.986 58.582
123.859 30.988 53.547
123.929 30.990 50.719
124.000 30.991 43.939
124.073 30.992 43.906
124.148 30.992 46.000
124.225 30.991 40.072
124.303 30.989 49.234
124.383 30.986 48.391
124.464 30.982 48.210
124.547 30.977 56.075
124.632 30.970 57.438
124.719 30.963 59.969
124.808 30.954 56.312
124.898 30.943 60.585
124.990 30.931 57.293
125.084 30.917 59.421
125.180 30.902 60.346
125.278 30.884 61.963
125.377 30.864 65.539
125.479 30.842 68.241
125.582 30.817 68.098
125.686 30.790 67.410
125.793 30.759 69.042
125.901 30.725 70.144
126.010 30.687 71.907
126.121 30.646 75.466
126.232 30.600 79.214
126.345 30.549 72.967
126.458 30.492 90.729
126.571 30.431 82.750
126.685 30.363 90.328
126.796 30.288 75.146
126.905 30.204 90.403
127.011 30.112 120.740
127.115 30.013 106.000
127.214 29.901 113.063
127.303 29.781 123.812
127.387 29.653 142.839
127.461 29.515 354.063
127.527 29.370 629.541
127.584 29.216 998.381
127.632 29.057 1047.269
127.671 28.892 1064.875
127.704 28.722 1146.938
127.729 28.547 1095.189
127.748 28.368 703.683
127.760 28.186 1050.770
127.768 28.000 911.288
127.770 27.811 1057.488
127.766 27.619 999.816
127.757 27.424 634.267
127.743 27.225 709.366
127.723 27.024 443.767
127.697 26.821 208.380
127.664 26.615 407.625
127.626 26.406 454.446
127.581 26.196 43.082
127.531 25.984 259.433
127.472 25.771 1681.915
127.407 25.556 2284.096
127.332 25.340 2287.729
127.254 25.125 2457.122
127.170 24.906 2159.855
127.077 24.689 2991.172
126.976 24.471 4048.899
126.867 24.258 6043.321
126.751 24.038 6836.049
126.635 23.821 6786.210
